Year,Event,Name,NOC,Awarded_Medal
2028,Men's 71kg,Alonso Verde,Mexico,Silver
2028,Men's 71kg,Omari Jones,United States,Bronze
2028,Men's 73kg,Zhiyong Shi,China,Gold
2028,Men's 73kg,Rizki Juniansyah,Indonesia,Silver
2028,Men's 73kg,Weeraphon Wichuma,Thailand,Bronze
2028,Men's 800m,Emmanuel Wanyonyi,Kenya,Gold
2028,Men's 800m,Marco Arop,Canada,Silver
2028,Men's 800m,Bryce Hoppel,United States,Bronze
2028,Men's 800m Freestyle,Gregorio Paltrinieri,Italy,Gold
2028,Men's 800m Freestyle,Sven Schwarz,Germany,Silver
2028,Men's 800m Freestyle,Bobby Finke,United States,Bronze
2028,Men's 80kg,Oleksandr Khyzhniak,Ukraine,Gold
2028,Men's 80kg,Arlen Lopez,Cuba,Silver
2028,Men's 80kg,Tanglatihan Tuohetaerbieke,China,Bronze
2028,Men's 89kg,May Nasar,Bulgaria,Gold
2028,Men's 89kg,Antonino Pizzolato,Italy,Silver
2028,Men's 89kg,Yeison Lopez,Colombia,Bronze
2028,Men's 92kg,James Brown,Great Britain,Gold
2028,Men's 92kg,Lazizbek Mullojonov,Uzbekistan,Silver
2028,Men's 92kg,Berto Alfonso,Azerbaijan,Bronze
2028,Men's All-Around,Daiki Hashimoto,Japan,Gold
2028,Men's All-Around,Shinnosuke Oka,Japan,Silver
2028,Men's All-Around,Ruoteng Xiao,China,Bronze
2028,Men's Boulder & Lead,Alberto Gines,Spain,Gold
2028,Men's Boulder & Lead,Toby Roberts,Great Britain,Silver
2028,Men's Boulder & Lead,Sorato Anraku,Japan,Bronze
2028,Men's Canoe Double 500m,Hao Liu,China,Gold
2028,Men's Canoe Double 500m,Peter Kretschmer,Germany,Silver
2028,Men's Canoe Double 500m,Petr Fuksa,Czech Republic,Bronze
2028,Men's Canoe Single,Sideris Tasiadis,Germany,Gold
2028,Men's Canoe Single,Nicolas Gestin,France,Silver
2028,Men's Canoe Single,Benjamin Savsek,Slovenia,Bronze
2028,Men's Canoe Single 1000m,Sebastian Brendel,Germany,Gold
2028,Men's Canoe Single 1000m,Hao Liu,China,Silver
2028,Men's Canoe Single 1000m,Isaquias Queiroz,Brazil,Bronze
2028,Men's Cross-country,Nino Schurter,Switzerland,Gold
2028,Men's Cross-country,Thomas Pidcock,Great Britain,Silver
2028,Men's Cross-country,David Valero,Spain,Bronze
2028,Men's Decathlon,Damian Warner,Canada,Gold
2028,Men's Decathlon,Markus Rooth,Norway,Silver
2028,Men's Decathlon,Leo Neugebauer,Germany,Bronze
2028,Men's Dinghy,Matt Wearn,Australia,Gold
2028,Men's Dinghy,Pavlos Kontides,Cyprus,Silver
2028,Men's Dinghy,Phili Buhl,Germany,Bronze
2028,Men's Discus Throw,Joseph Brown,United States,Gold
2028,Men's Discus Throw,Daniel Stahl,Sweden,Silver
2028,Men's Discus Throw,Roje Stona,Jamaica,Bronze
2028,Men's Double Sculls,Marc Weber,Germany,Gold
2028,Men's Double Sculls,Matthieu Androdias,France,Silver
2028,Men's Double Sculls,Hugo Boucheron,France,Bronze
2028,Men's Doubles,Chi-lin Wang,Chinese Taipei,Gold
2028,Men's Doubles,Yang Lee,Chinese Taipei,Silver
2028,Men's Doubles,Rajeev Ram,United States,Bronze
2028,Men's Eight,Spencer Turrin,Australia,Gold
2028,Men's Eight,Tom Ford,Great Britain,Silver
2028,Men's Eight,Jacob Dawson,Great Britain,Bronze
2028,Men's Floor Exercise,Max Whitlock,Great Britain,Gold
2028,Men's Floor Exercise,Jingyuan Zou,China,Silver
2028,Men's Floor Exercise,Daiki Hashimoto,Japan,Bronze
2028,Men's Foil Individual,Long Cheung,Hong Kong,Gold
2028,Men's Foil Individual,Alexander Massialas,United States,Silver
2028,Men's Foil Individual,Maxime Pauty,France,Bronze
2028,Men's Foil Team,Alexander Massialas,United States,Gold
2028,Men's Foil Team,Julien Mertine,France,Silver
2028,Men's Foil Team,Maxime Pauty,France,Bronze
2028,Men's Four,Tom Murray,New Zealand,Gold
2028,Men's Four,Matt Macdonald,New Zealand,Silver
2028,Men's Four,Justin Best,United States,Bronze
2028,Men's Freestyle 125kg,Geno Petriashvili,Georgia,Gold
2028,Men's Freestyle 125kg,Mark Parris,United States,Silver
2028,Men's Freestyle 125kg,Zhiwei Deng,China,Bronze
2028,Men's Freestyle 57kg,Rei Higuchi,Japan,Gold
2028,Men's Freestyle 57kg,Gamal Mohamed,Egypt,Silver
2028,Men's Freestyle 57kg,Richard Lee,United States,Bronze
2028,Men's Freestyle 65kg,Kotaro Kiyooka,Japan,Gold
2028,Men's Freestyle 65kg,Allen Retherford,United States,Silver
2028,Men's Freestyle 65kg,Haji Aliyev,Azerbaijan,Bronze
2028,Men's Freestyle 74kg,Salambekovitch Jamalov,Uzbekistan,Gold
2028,Men's Freestyle 74kg,Daichi Takatani,Japan,Silver
2028,Men's Freestyle 74kg,Douglas Dake,United States,Bronze
2028,Men's Freestyle 86kg,Hassan Yazdanicharati,Iran,Gold
2028,Men's Freestyle 86kg,Nazem Amine,San Marino,Silver
2028,Men's Freestyle 86kg,Marquel Brooks,United States,Bronze
2028,Men's Freestyle 97kg,Frederick Snyder,United States,Gold
2028,Men's Freestyle 97kg,Akhmed Tazhudinov,Bahrain,Silver
2028,Men's Freestyle 97kg,Sven Thiele,Germany,Bronze
2028,Men's Greco-Roman 130kg,Mijain Lopez,Cuba,Gold
2028,Men's Greco-Roman 130kg,Jacob Coon,United States,Silver
